City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
shush,32.19,48.24,66.11,31,0,3.11,IR,1602977048
casper,42.87,-106.31,39.99,69,90,14.99,US,1602976970
avarua,-21.21,-159.78,78.8,65,84,16.11,CK,1602976506
matai,-8.3,31.52,62.31,58,1,8.28,TZ,1602977053
hilo,19.73,-155.09,89.6,52,1,12.75,US,1602976485
codrington,-38.27,141.97,50.94,78,88,8.39,AU,1602976566
rundu,-17.93,19.77,69.22,25,0,4.79,NA,1602977057
ormara,25.21,64.64,80.92,28,4,16.98,PK,1602977059
fortuna,40.6,-124.16,66.99,72,20,17.22,US,1602976542
kahului,20.89,-156.47,91.4,46,40,8.05,US,1602976619
margate,51.38,1.39,51.01,90,100,4.0,GB,1602976546
ostrovnoy,68.05,39.51,31.77,90,2,0.94,RU,1602976489
xining,36.62,101.77,33.64,75,78,0.76,CN,1602976570
breytovo,58.3,37.86,36.77,81,100,8.81,RU,1602977066
henties bay,-22.12,14.28,57.0,93,0,1.99,NA,1602976543
souillac,-20.52,57.52,69.8,83,20,6.49,MU,1602976542
ribeira grande,38.52,-28.7,63.19,63,88,15.05,PT,1602976516
miramar,25.99,-80.23,82.99,74,40,19.46,US,1602976823
san juan,-31.54,-68.54,84.52,22,0,7.99,AR,1602976823
nikolskoye,59.7,30.79,36.0,74,75,6.71,RU,1602976493
buin,-33.73,-70.75,71.01,42,0,10.29,CL,1602977074
jimenez,28.33,-105.4,87.8,20,20,12.75,MX,1602977075
port hardy,50.7,-127.42,50.0,87,90,6.93,CA,1602976560
colac,-38.33,143.58,50.0,76,75,7.85,AU,1602977077
manaus,-3.1,-60.02,86.0,66,69,2.24,BR,1602977047
soc trang,9.6,105.98,75.2,100,75,3.36,VN,1602977079
berlevag,70.86,29.09,37.96,74,100,13.11,NO,1602976639
sola,-13.88,167.55,80.1,78,41,18.16,VU,1602976525
aksay,47.26,39.87,60.8,59,52,8.95,RU,1602977083
westport,41.14,-73.36,59.0,28,1,2.84,US,1602976587
collingwood,44.48,-80.22,45.0,51,51,5.99,CA,1602976910
ivankiv,50.94,29.89,44.6,87,97,13.42,UA,1602977087
camacha,33.08,-16.33,68.0,68,20,12.75,PT,1602976493
tasiilaq,65.61,-37.64,33.8,86,28,17.22,GL,1602976515
caraquet,47.79,-64.94,53.6,100,90,2.24,CA,1602977091
korisos,40.5,21.38,57.99,75,1,2.24,GR,1602977092
sibolga,1.74,98.78,75.67,79,100,3.56,ID,1602976533
pacific grove,36.62,-121.92,87.8,18,1,9.17,US,1602977040
altay,47.87,88.12,38.23,59,1,6.73,CN,1602976599
matamoros,25.53,-103.25,91.4,19,5,6.04,MX,1602977096
humaita,-7.51,-63.02,83.3,60,68,1.99,BR,1602977097
snasa,64.25,12.38,38.07,86,100,18.03,NO,1602977099
quatre cocos,-20.21,57.76,69.8,83,20,7.11,MU,1602976591
tuktoyaktuk,69.45,-133.04,19.4,79,5,8.05,CA,1602977101
qasigiannguit,68.82,-51.19,37.4,93,100,2.24,GL,1602976601
makakilo city,21.35,-158.09,84.2,74,1,6.93,US,1602976525
paita,-5.09,-81.11,63.91,86,21,13.96,PE,1602977104
nanortalik,60.14,-45.24,39.31,83,20,2.89,GL,1602976518
broken hill,-31.95,141.43,48.2,87,90,16.11,AU,1602976542
kotido,2.98,34.13,70.68,76,95,4.25,UG,1602977108
mosquera,4.71,-74.23,60.8,59,75,5.82,CO,1602977039
egvekinot,66.32,-179.17,27.0,89,3,4.32,RU,1602976593
kuching,1.55,110.33,77.0,100,40,2.24,MY,1602977111
itoman,26.12,127.67,77.0,78,20,14.99,JP,1602976631
barwadih,23.83,84.12,72.12,89,59,1.88,IN,1602977113
orleans,30.03,-89.95,71.6,49,1,10.29,US,1602976929
awassa,7.05,38.47,60.03,84,94,2.93,ET,1602977115
los llanos de aridane,28.66,-17.92,69.8,77,100,2.24,ES,1602977116
hibbing,47.43,-92.94,33.8,99,90,12.75,US,1602977117
santa cruz,-17.8,-63.17,87.8,48,20,13.87,BO,1602976502
grindavik,63.84,-22.43,44.6,100,75,18.34,IS,1602976568
goderich,43.75,-81.72,51.01,68,58,5.99,CA,1602976537
verkhnyaya inta,65.98,60.31,27.55,97,100,14.65,RU,1602977121
arica,-18.48,-70.3,63.0,77,14,6.93,CL,1602977122
laguna,38.42,-121.42,96.01,13,1,4.7,US,1602977125
portland,45.52,-122.68,68.0,55,90,2.44,US,1602976856
alofi,-19.06,-169.92,82.4,83,100,10.29,NU,1602976544
coffs harbour,-30.3,153.13,77.0,57,87,1.12,AU,1602976871
dudinka,69.41,86.18,28.4,86,100,13.42,RU,1602977129
haaksbergen,52.16,6.74,39.0,89,2,4.72,NL,1602977130
anamur,36.08,32.84,62.6,93,22,4.7,TR,1602977131
bilma,18.69,12.92,82.15,16,0,1.05,NE,1602977132
road town,18.42,-64.62,81.0,83,20,5.82,VG,1602977133
pimenta bueno,-11.67,-61.19,81.48,56,53,2.1,BR,1602977004
yerbogachen,61.28,108.01,23.68,98,94,4.83,RU,1602977135
musoma,-1.5,33.8,72.73,68,75,5.26,TZ,1602977136
zhongxing,33.7,118.68,53.62,72,16,2.62,CN,1602977137
avera,33.19,-82.53,62.6,63,1,4.7,US,1602976550
nieuw amsterdam,5.88,-55.08,82.99,84,76,3.0,SR,1602977139
vestmanna,62.16,-7.17,33.8,76,96,2.24,FO,1602976596
rio gallegos,-51.62,-69.22,51.8,66,90,16.11,AR,1602976406
pauini,-7.71,-66.98,74.5,92,90,3.42,BR,1602977142
kichera,55.94,110.1,31.84,95,100,3.47,RU,1602977143
kosh-agach,50.0,88.67,25.75,81,100,1.03,RU,1602977144
salisbury,51.07,-1.8,48.2,87,99,3.36,GB,1602977146
mayahi,13.96,7.67,89.62,20,0,3.69,NE,1602977147
bukama,-9.2,25.85,74.93,52,1,2.21,CD,1602977148
mahuva,21.09,71.76,81.93,82,79,10.47,IN,1602977150
bodden town,19.28,-81.25,86.0,74,20,12.75,KY,1602977151
centralia,46.72,-122.95,61.0,67,58,1.01,US,1602977152
bethel,41.37,-73.41,46.0,70,1,1.19,US,1602977153
san patricio,28.02,-97.52,87.8,48,40,13.87,US,1602976560
shaunavon,49.65,-108.42,22.86,90,50,11.36,CA,1602976948
san quintin,30.48,-115.95,78.42,53,0,13.15,MX,1602977156
dhidhdhoo,6.88,73.1,81.93,78,44,13.8,MV,1602977157
dandong,40.13,124.39,48.7,80,0,5.1,CN,1602976560
pirgos,35.12,25.72,73.99,83,99,1.99,GR,1602977159
ape,57.54,26.69,31.48,96,29,4.79,LV,1602977160
buzmeyin,38.05,58.21,50.0,43,0,4.7,TM,1602977161
aklavik,68.22,-135.01,21.2,73,5,4.7,CA,1602976571
temir,49.14,57.13,49.14,78,39,6.42,KZ,1602977163
rio cuarto,-33.13,-64.35,86.0,35,4,19.46,AR,1602977164
lavrentiya,65.58,-171.0,38.88,87,76,4.9,RU,1602976583
kalmunai,7.42,81.82,78.33,74,100,3.2,LK,1602976608
